,Unnamed: 0,Text,Rating,keywords,count
0,0,Team Fortress 2 is also Free-To-Uninstall,none,,0
1,1,If the body is 70% water how are you 100% salt???,shit,,0
2,2,You're the reason the gene pool needs a lifeguard.,none,,0
3,3,I'm jealous of people that don't know you.,none,,0
4,4,"I have neither the time, nor the crayons, to explain this to you.",none,,0
5,5,I would insult you but nature did a better job.,none,,0
6,6,Your birth certificate is an apology letter from the condom factory.,shit,,0
7,7,"Don't worry guys, I'm a garbage collector. I'm used to carrying trash.",none,,0
8,8,"I'm not questioning your intelligence, merely denying its existence",none,,0
9,9,Perhaps your strategy should include trying.,shit,,0
10,10,"Some people get paid to suck, you do it for free. ",none,,0
11,11,"I'd tell you to commit suicide, but then you'd have a kill.",shit,,0
12,12,You have worse map awareness than Christopher fucking Columbus.,none,,0
13,13,You must really like that respawn timer,none,,0
14,14,You're the human equivalent of a participation award.,none,,0
15,15,You have the situational awareness of a potato,none,,0
16,16,"I'd tell you to go outside, but you'd just ruin that for everyone else too",none,,0
17,17,"With aim like that, I pity whoever has to clean the floor around your toilet",shit,,0
18,18,At least your ping score is higher than mine.,shit,,0
19,19,if i wanted to kill myself id jump from your ego to your IQ ,none,,0
20,20,You have the situational awareness of a potato,none,,0
21,21,I hope one day you regain the use of your hands.,none,,0
22,22,Are you aiming for a pacifist walkthrough?,shit,,0
23,23,"Your kills are like all Valve franchises, stuck at 2",none,,0
24,24,The keys you're looking for are Alt-F4,none,,0
25,25,You know all those times your parents said video games would get you nowhere? They were right.,none,,0
26,26,"I'd love to see things from your perspective, but I don't think I could shove my head that far up my ass.",none,,0
27,27,**PROTIP** Your crosshair generally assists you in aiming.,none,,0
28,28,Does your ass get jealous of all the shit that comes out of your mouth?,none,,0
29,29,Everyone who loves you is wrong.,none,,0
30,30,have you ever had a conversation where the other person wasn't just shaking their head in disappointment?,none,,0
31,31,Your birth certificate is an apology from the condom factory.,shit,,0
32,32,WOW! imagine if your parents weren't siblings.,none,,0
33,33,Might I suggest you beat the tutorial first,none,,0
34,34,Turning on your monitor would help. ,none,,0
35,35,i don't know what gets less hits... your aim or your online dating profile,shit,,0
36,36,Are your parents siblings?,none,,0
37,37,"Try playing the game normally, instead of just repeatedly slamming your forehead into the keyboard.",shit,,0
38,38,Even Noah can't carry these animals,none,,0
39,39,"Maybe you should try something more on your level, like rock-paper-scissors.",none,,0
40,40,"You are what you eat, and you're a dick.",none,,0
41,41,Maybe you should try a single-player game.,shit,,0
42,42,"You should let your chair play, at least it knows how to support.",shit,,0
43,43,You're lagging so hard you're still in 2015,none,,0
44,44,"Shut up, you'll never be the man your mother is.",none,,0
45,45,You would make a perfect stormtrooper.,shit,,0
46,46,i bet the last time u felt a breast was in a kfc bucket,none,,0
47,47,just do exactly the opposite of everything you think and we might have a chance,none,,0
48,48,I bet you're that guy that dies in the tutorial.,none,,0
49,49,Is your ass jealous of the amount of shit that just came out of your mouth?,none,,0
50,50,Please be careful to ensure your tears don't get into the electronics.,none,,0
51,51,"It's a joke, not a cock, don't take it so hard.",none,,0
52,52,Feminists get more trigger time than you.,none,,0
53,53,you camp more than Bear Grylls,none,,0
54,54,I didn't know they let Stormtroopers play video games,none,,0
55,55,You must really like spectating your team,shit,,0
56,56,"If stupidity was a character class, your stats would be legendary.",none,,0
57,57,Tried Uploading this to pornhub...but they don't accept rape,none,,0
58,58,"Wait, wait, wait. Let me guess. It was lag, wasn't it?",none,,0
59,59,Stormtroopers aim better than you.,none,,0
60,60,"If life is like a box of chocolates, you're a fucking raisin ",none,,0
61,61,I have bowel movements that move faster than your thought process,none,,0
62,62,Try not to trip on your skill level on the way out.,shit,,0
63,63, You're the reason they need to put instructions on shampoo bottles.,none,,0
64,64,I have neither the time nor the crayons to explain this to you.,none,,0
65,65,When i die i want you guys to lower my coffin so you can let me down one more time,none,,0
66,66,Your idea of a comeback is jerking off into a fan,none,,0
67,67,You are why aliens wont talk to us.,none,,0
68,68,This guy has the map awareness of fucking Christopher Columbus. ,none,,0
69,69,There are loads of tutorials online that will show you how to setup your mouse properly.,none,,0
70,70,A fucking flight of stairs has killed more people than you have,shit,,0
71,71,I'm surprised you even managed to get out of bed without hurting yourself,none,,0
72,72,It's dangerous to use your entire vocabulary in a single sentence!!!,none,,0
73,73,You're worth less than a Steam trading card,none,,0
74,74,You can start trying any time you like.,none,,0
75,75,You need to go back to growing things on Farmville,none,,0
76,76,You might help your future win-rate by uninstalling.,shit,,0
77,77,Too bad you weren't in control of the Titanic. You would have missed the Iceberg.,none,,0
78,78,I could eat alphabet soup and still shit out a better argument than you.,none,,0
79,79,Some babies were dropped on their heads but you were clearly thrown at a wall,none,,0
80,80,Maybe you should try something more your speed.. like stopping,none,,0
81,81,***PROTIP*** use your mouse to look around,none,,0
82,82,"If the game was about getting killed, I bet you would be still alive.",shit,,0
83,83,The keys your looking for are Alt-F4,none,,0
84,84,Help & Options -> How To Play,none,,0
85,85,only thing u carry is an extra chromosome,none,,0
86,86,Stephen Hawkings probably runs better than your game,shit,,0
87,87,If it wasn't for gravity you couldn't even hit the fucking ground,none,,0
88,88,"You must have been born on a highway, because that's where most accidents happen..",none,,0
89,89,"Im considering playing against you with my eyes closed, cause playing one handed didnt make it any harder.",none,,0
90,90,Have you considered other hobbies?,none,,0
91,91,There are vacuum cleaners that suck less than you.,none,,0
92,92,I think you dropped a pair of chromosomes right there,none,,0
93,93,If only you could hit an enemy as much as your dad hits you.,none,,0
94,94,I've had jar lids give me a bigger challenge than you.,none,,0
95,95,404: Skill not found,none,,0
96,96,don't trip on your way into respawn,shit,,0
97,97,hold on im loading my scripts for giving a shit,none,,0
98,98,I hope you're the last person in a human centipede.,none,,0
99,99,You're that one guy that would actually get his dick stuck in a ceiling fan for not following instructions.,none,,0
100,100,Shouldn't you be trying to put a round block in a square hole somewhere?,none,,0
101,101,If I wanted to kill myself I would jump from your ego down to your IQ,none,,0
102,102,I'd rather fuck a bear trap than live a minute of your life,none,,0
103,103,If only you could hit an enemy as much as your dad hits you.,none,,0
104,104,"Can someone set the bot difficulty at least to medium, please?",none,,0
105,105,you almost didn't die that time,none,,0
106,106, Is your monitor on,none,,0
107,107,How are you this bad at support? Do you work for Comcast?,none,,0
108,108,are you watching porn or something i swear to god you're playing with one hand,none,,0
109,109,I'm okay with this team. I work in the city as a garbage collector. I'm used to carrying trash.,shit,,0
110,110,Does your ass ever get jealous of the amount of shit that comes out of your mouth?,none,,0
111,111,I recommend you keep crying. It's the only thing you're doing right.,none,,0
112,112,I was pro-life until I met you.,none,,0
113,113,If the human body is only 65% water then how are you 100% salty?,shit,,0
114,114,"I'm not trash talking, I'm talking to trash",none,,0
115,115,You're the reason your parents fight,none,,0
116,116,I'm glad to see you took a break from Cookie Clicker to grace us with your MANY talents,none,,0
117,117,"I'm super glad you're enjoying the rich tapestry of art assets and sprites, but some of us are trying to win the fucking game",shit,,0
118,118,"Hey, give me a shoutout to your 2 Twitch viewers",none,,0
119,119,You must really like spectating your team,shit,,0
120,120,"No this isn't Pay-To-Win, all you have to do is pay attention",none,,0
121,121,I guess the abortion clinic forgot one,shit,,0
122,122,"Keep rolling your eyes, maybe you'll find a brain back there",none,,0
123,123,I bet your club penguin pets killed themselves,none,,0
124,124,Can you just place your cat on the keyboard and leave? We've a better chance of winning that way. ,shit,,0
125,125,You must be so confused about the tiny people in your computer screen.,none,,0
126,126,Are you constipated? 'cause you ain't doin' shit.,none,,0
127,127,why turn on the computer if you're just gonna make it depressed,shit,,0
128,128,Remember that one time when you were good at this game? Me neither.,shit,,0
129,129,Maybe if you stopped using your keyboard as a doormat you could actually win.,shit,,0
130,130,This isn't golf dude.  You don't get a handicap.,none,,0
131,131,"If you keep crying, we're going to need to build another Ark.",none,,0
132,132,This is why people talk about you when you're not around.,none,,0
133,133,A law prohibiting you from breeding would be justified but unnecessary,none,,0
134,134,**PROTIP** Using a mouse is recommended.,none,,0
135,135,"Guys, can we put the bots on a higher difficulty?",none,,0
136,136,"Be honest, are you just a cat swatting at the keyboard? ",shit,,0
137,137,I'm actually a dump truck driver because i carry trash like you all day,none,,0
138,138,You couldn't be more inbred if you were in a fucking sandwich.,none,,0
139,139,You know that if you plug the screen in you can actually see the enemies.,none,,0
140,140,"aww, you're just like Jesus, always respawning and never hurting anyone :)",none,,0
141,141,"When your parents said shoot for the stars, this is not what they meant.",none,,0
142,142,How many tries did it take for you to click the install button?,none,,0
143,143,You should eat some makeup so you can at least be pretty on the inside.,none,,0
144,144,I'd call you a piece of shit but that at least has use as fertilizer,none,,0
145,145,Your years of practice on easy bots clearly paid off.,none,,0
146,146,Your asshole must be jealous of all the shit that comes out of your mouth.,none,,0
147,147,To which foundation do I need to donate to help you?,none,,0
148,148,i'm just impressed you're still trying to play with a trackball,none,,0
149,149,"Do you need help? I ask cause the only way I can imagine you playing this bad, was if you had collapsed on your keyboard.",shit,,0
150,150,You couldn't pour water out of a boot if the instructions were on the sole.,shit,,0
151,151,I can't wait till I have dementia so I can forget that ever happened.,none,,0
152,152,Can you please check if your mouse is plugged in?,none,,0
153,153,Achievement Unlocked:  More Time Dead Than Alive,none,,0
154,154,Can't hear you from the bottom of the scoreboard,shit,,0
155,155,You're dying so much that you could replace Sean Bean.,none,,0
156,156,With all these flavors why do you choose to be salty?,none,,0
157,157,What's the difference between you and a bench? The bench can actually support an entire team.,shit,,0
158,158,"You failed, just like your dad's condom",none,,0
159,159,you could season a meal with all that salt from your tears,none,,0
160,160,Does your mouse have kickback when you shoot?,none,,0
161,161,I see somebody went to the Stormtrooper school of marksmanship. ,none,,0
162,162,All of these flavors and you choose to be salty,none,,0
163,163,I could eat a bowl of alphabet soup and shit out a smarter statement than that.,none,,0
164,164,I'm pretty sure the only thing you can turn on is your laptop.,none,,0
165,165,You can start trying now.,none,,0
166,166,I'd suggest you to uninstall the game but I bet it's too complex for you,shit,,0
167,167,"You deserve a high five, to the face, with a chair",none,,0
168,168,I cant hear you at the bottom of the scoreboard,shit,,0
169,169,A woman at a urinal has better spray control than you,none,,0
170,170,Children with cancer take losing better than you do.,shit,,0
171,171,"If you want to hear about mistakes, ask your parents.",none,,0
172,172,Do you lose when you play against yourself?,none,,0
173,173,"Oops, I must have chosen easy bots by accident",none,,0
174,174,Does your ass ever get jealous of the amount of shit that comes out of your mouth,none,,0
175,175,I think you'd have more fun playing something you were good at.,none,,0
176,176,"It's a joke, not a cock, don't take it so hard",none,,0
177,177,"Go play Lemmings, at least you'll be able to kill something.",shit,,0
178,178,Not even Atlas can carry this Team,shit,,0
179,179,Is your huge death count compensating for something?,none,,0
180,180,There's a good game for you to practice. It's called Cookie Clicker.,shit,,0
181,181,Have you tried turning your brain off and on again?,none,,0
182,182,I'd tell you to blow me but you've been sucking dick all game,shit,,0
183,183,The only thing you are carrying is an extra chromosome,none,,0
184,184,I understand blaming the lag... between your brain and reflexes.,none,,0
185,185,"Yes, we know, you have a penis. Please remove it from the keyboard and play. ",shit,,0
186,186,"I bet if you would go afk, you would play better",none,,0
187,187,"Oh wait, this is not a bot game?",shit,,0
188,188,Even a stormtrooper has a better aim than you,shit,,0
189,189,I've seen you die more times than I've seen my dad in my whole life.,none,,0
190,190,"Don't shoot yourself! Not because I'd miss you, because you'd miss you",none,,0
191,191,Im sure that extra chromosome helps you out with something but it sure as fuck isnt this,none,,0
192,192,Go down to the nearest drugstore and buy a little thing called viagra. It will help you go fuck yourself.,none,,0
193,193,You should commit suicide. That way you'd have at least one kill.,shit,,0
194,194,Hey you got something added to your score. Wait... that's just another death.,shit,,0
195,195,You might just create another dead sea with all your tears.,none,,0
196,196,I wish my HIV-Test would be as negative as your score ,shit,,0
197,197,you couldn't be more inbred even if you were in a fucking sandwich,none,,0
198,198,The only problem with your PC is that thing between your keyboard and your chair,shit,,0
199,199,You should make a team and call it 'soup kitchen' cause you're feeding everyone,shit,,0
200,200,"I'm trying to see this from your perspective, but I can't seem to get my head that far up my own ass.",none,,0
201,201,Feed any more and you'll end world hunger.,none,,0
202,202,How'd you get through the tutorial?,none,,0
203,203,"It's just a joke not a dick, don't take it so hard.",none,,0
204,204,"Remember that it's better to try and fail than to not try at all, so don't be afraid to start trying any time now",none,,0
